Country,Region,scenario,technology,year,installed_capacity_MW
Canada,AB,CER_HighDemand,Hydro,2010,882.91
Canada,AB,DSF,Hydro,2010,882.91
Canada,AB,EPRI,Hydro,2010,882.91
Canada,AB,IET,Hydro,2010,882.91
Canada,AB,JANDG,Hydro,2010,882.91
Canada,AB,CER_HighDemand,Natural Gas,2010,11701.603000000001
Canada,AB,DSF,Natural Gas,2010,11701.603000000001
Canada,AB,EPRI,Natural Gas,2010,11701.603000000001
Canada,AB,IET,Natural Gas,2010,11701.603000000001
Canada,AB,JANDG,Natural Gas,2010,11701.603000000001
Canada,AB,CER_HighDemand,Nuclear,2010,0
Canada,AB,DSF,Nuclear,2010,0
Canada,AB,EPRI,Nuclear,2010,0
Canada,AB,IET,Nuclear,2010,0
Canada,AB,JANDG,Nuclear,2010,0
Canada,AB,CER_HighDemand,Solar,2010,0
Canada,AB,DSF,Solar,2010,0
Canada,AB,EPRI,Solar,2010,0
Canada,AB,IET,Solar,2010,0
Canada,AB,JANDG,Solar,2010,0
Canada,AB,CER_HighDemand,Wind,2010,805.77
Canada,AB,DSF,Wind,2010,805.77
Canada,AB,EPRI,Wind,2010,805.77
Canada,AB,IET,Wind,2010,805.77
Canada,AB,JANDG,Wind,2010,805.77
Canada,BC,CER_HighDemand,Hydro,2010,13201.771
Canada,BC,DSF,Hydro,2010,13201.771
Canada,BC,EPRI,Hydro,2010,13201.771
Canada,BC,IET,Hydro,2010,13201.771
Canada,BC,JANDG,Hydro,2010,13201.771
Canada,BC,CER_HighDemand,Natural Gas,2010,2281.155
Canada,BC,DSF,Natural Gas,2010,2281.155
Canada,BC,EPRI,Natural Gas,2010,2281.155
Canada,BC,IET,Natural Gas,2010,2281.155
Canada,BC,JANDG,Natural Gas,2010,2281.155
Canada,BC,CER_HighDemand,Nuclear,2010,0
Canada,BC,DSF,Nuclear,2010,0
Canada,BC,EPRI,Nuclear,2010,0
Canada,BC,IET,Nuclear,2010,0
Canada,BC,JANDG,Nuclear,2010,0
Canada,BC,CER_HighDemand,Solar,2010,0
Canada,BC,DSF,Solar,2010,0
Canada,BC,EPRI,Solar,2010,0
Canada,BC,IET,Solar,2010,0
Canada,BC,JANDG,Solar,2010,0
Canada,BC,CER_HighDemand,Wind,2010,105.9
Canada,BC,DSF,Wind,2010,105.9
Canada,BC,EPRI,Wind,2010,105.9
Canada,BC,IET,Wind,2010,105.9
Canada,BC,JANDG,Wind,2010,105.9
Canada,Maritimes,CER_HighDemand,Hydro,2010,1340.8600000000001
Canada,Maritimes,DSF,Hydro,2010,1340.8600000000001
Canada,Maritimes,EPRI,Hydro,2010,1340.8600000000001
Canada,Maritimes,IET,Hydro,2010,1340.8600000000001
Canada,Maritimes,JANDG,Hydro,2010,1340.8600000000001
Canada,Maritimes,CER_HighDemand,Natural Gas,2010,4970.663
Canada,Maritimes,DSF,Natural Gas,2010,4970.663
Canada,Maritimes,EPRI,Natural Gas,2010,4970.663
Canada,Maritimes,IET,Natural Gas,2010,4970.663
Canada,Maritimes,JANDG,Natural Gas,2010,4970.663
Canada,Maritimes,CER_HighDemand,Nuclear,2010,0
Canada,Maritimes,DSF,Nuclear,2010,0
Canada,Maritimes,EPRI,Nuclear,2010,0
Canada,Maritimes,IET,Nuclear,2010,0
Canada,Maritimes,JANDG,Nuclear,2010,0
Canada,Maritimes,CER_HighDemand,Solar,2010,0
Canada,Maritimes,DSF,Solar,2010,0
Canada,Maritimes,EPRI,Solar,2010,0
Canada,Maritimes,IET,Solar,2010,0
Canada,Maritimes,JANDG,Solar,2010,0
Canada,Maritimes,CER_HighDemand,Wind,2010,593.52
Canada,Maritimes,DSF,Wind,2010,593.52
Canada,Maritimes,EPRI,Wind,2010,593.52
Canada,Maritimes,IET,Wind,2010,593.52
Canada,Maritimes,JANDG,Wind,2010,593.52
Canada,MB,CER_HighDemand,Hydro,2010,5054.21
Canada,MB,DSF,Hydro,2010,5054.21
Canada,MB,EPRI,Hydro,2010,5054.21
Canada,MB,IET,Hydro,2010,5054.21
Canada,MB,JANDG,Hydro,2010,5054.21
Canada,MB,CER_HighDemand,Natural Gas,2010,501.18
Canada,MB,DSF,Natural Gas,2010,501.18
Canada,MB,EPRI,Natural Gas,2010,501.18
Canada,MB,IET,Natural Gas,2010,501.18
Canada,MB,JANDG,Natural Gas,2010,501.18
Canada,MB,CER_HighDemand,Nuclear,2010,0
Canada,MB,DSF,Nuclear,2010,0
Canada,MB,EPRI,Nuclear,2010,0
Canada,MB,IET,Nuclear,2010,0
Canada,MB,JANDG,Nuclear,2010,0
Canada,MB,CER_HighDemand,Solar,2010,0
Canada,MB,DSF,Solar,2010,0
Canada,MB,EPRI,Solar,2010,0
Canada,MB,IET,Solar,2010,0
Canada,MB,JANDG,Solar,2010,0
Canada,MB,CER_HighDemand,Wind,2010,103.95
Canada,MB,DSF,Wind,2010,103.95
Canada,MB,EPRI,Wind,2010,103.95
Canada,MB,IET,Wind,2010,103.95
Canada,MB,JANDG,Wind,2010,103.95
Canada,NB,CER_HighDemand,Hydro,2010,947.11
Canada,NB,DSF,Hydro,2010,947.11
Canada,NB,EPRI,Hydro,2010,947.11
Canada,NB,IET,Hydro,2010,947.11
Canada,NB,JANDG,Hydro,2010,947.11
Canada,NB,CER_HighDemand,Natural Gas,2010,2849.238
Canada,NB,DSF,Natural Gas,2010,2849.238
Canada,NB,EPRI,Natural Gas,2010,2849.238
Canada,NB,IET,Natural Gas,2010,2849.238
Canada,NB,JANDG,Natural Gas,2010,2849.238
Canada,NB,CER_HighDemand,Nuclear,2010,0
Canada,NB,DSF,Nuclear,2010,0
Canada,NB,EPRI,Nuclear,2010,0
Canada,NB,IET,Nuclear,2010,0
Canada,NB,JANDG,Nuclear,2010,0
Canada,NB,CER_HighDemand,Solar,2010,0
Canada,NB,DSF,Solar,2010,0
Canada,NB,EPRI,Solar,2010,0
Canada,NB,IET,Solar,2010,0
Canada,NB,JANDG,Solar,2010,0
Canada,NB,CER_HighDemand,Wind,2010,249
Canada,NB,DSF,Wind,2010,249
Canada,NB,EPRI,Wind,2010,249
Canada,NB,IET,Wind,2010,249
Canada,NB,JANDG,Wind,2010,249
Canada,NL,CER_HighDemand,Hydro,2010,6781.05
Canada,NL,DSF,Hydro,2010,6781.05
Canada,NL,EPRI,Hydro,2010,6781.05
Canada,NL,IET,Hydro,2010,6781.05
Canada,NL,JANDG,Hydro,2010,6781.05
Canada,NL,CER_HighDemand,Natural Gas,2010,584.2
Canada,NL,DSF,Natural Gas,2010,584.2
Canada,NL,EPRI,Natural Gas,2010,584.2
Canada,NL,IET,Natural Gas,2010,584.2
Canada,NL,JANDG,Natural Gas,2010,584.2
Canada,NL,CER_HighDemand,Nuclear,2010,0
Canada,NL,DSF,Nuclear,2010,0
Canada,NL,EPRI,Nuclear,2010,0
Canada,NL,IET,Nuclear,2010,0
Canada,NL,JANDG,Nuclear,2010,0
Canada,NL,CER_HighDemand,Solar,2010,0
Canada,NL,DSF,Solar,2010,0
Canada,NL,EPRI,Solar,2010,0
Canada,NL,IET,Solar,2010,0
Canada,NL,JANDG,Solar,2010,0
Canada,NL,CER_HighDemand,Wind,2010,27
Canada,NL,DSF,Wind,2010,27
Canada,NL,EPRI,Wind,2010,27
Canada,NL,IET,Wind,2010,27
Canada,NL,JANDG,Wind,2010,27
Canada,NS,CER_HighDemand,Hydro,2010,393.75
Canada,NS,DSF,Hydro,2010,393.75
Canada,NS,EPRI,Hydro,2010,393.75
Canada,NS,IET,Hydro,2010,393.75
Canada,NS,JANDG,Hydro,2010,393.75
Canada,NS,CER_HighDemand,Natural Gas,2010,2006.425
Canada,NS,DSF,Natural Gas,2010,2006.425
Canada,NS,EPRI,Natural Gas,2010,2006.425
Canada,NS,IET,Natural Gas,2010,2006.425
Canada,NS,JANDG,Natural Gas,2010,2006.425
Canada,NS,CER_HighDemand,Nuclear,2010,0
Canada,NS,DSF,Nuclear,2010,0
Canada,NS,EPRI,Nuclear,2010,0
Canada,NS,IET,Nuclear,2010,0
Canada,NS,JANDG,Nuclear,2010,0
Canada,NS,CER_HighDemand,Solar,2010,0
Canada,NS,DSF,Solar,2010,0
Canada,NS,EPRI,Solar,2010,0
Canada,NS,IET,Solar,2010,0
Canada,NS,JANDG,Solar,2010,0
Canada,NS,CER_HighDemand,Wind,2010,192.96
Canada,NS,DSF,Wind,2010,192.96
Canada,NS,EPRI,Wind,2010,192.96
Canada,NS,IET,Wind,2010,192.96
Canada,NS,JANDG,Wind,2010,192.96
Canada,NT,CER_HighDemand,Hydro,2010,55.7
Canada,NT,DSF,Hydro,2010,55.7
Canada,NT,EPRI,Hydro,2010,55.7
Canada,NT,IET,Hydro,2010,55.7
Canada,NT,JANDG,Hydro,2010,55.7
Canada,NT,CER_HighDemand,Natural Gas,2010,126.998
Canada,NT,DSF,Natural Gas,2010,126.998
Canada,NT,EPRI,Natural Gas,2010,126.998
Canada,NT,IET,Natural Gas,2010,126.998
Canada,NT,JANDG,Natural Gas,2010,126.998
Canada,NT,CER_HighDemand,Nuclear,2010,0
Canada,NT,DSF,Nuclear,2010,0
Canada,NT,EPRI,Nuclear,2010,0
Canada,NT,IET,Nuclear,2010,0
Canada,NT,JANDG,Nuclear,2010,0
Canada,NT,CER_HighDemand,Solar,2010,0
Canada,NT,DSF,Solar,2010,0
Canada,NT,EPRI,Solar,2010,0
Canada,NT,IET,Solar,2010,0
Canada,NT,JANDG,Solar,2010,0
Canada,NT,CER_HighDemand,Wind,2010,0
Canada,NT,DSF,Wind,2010,0
Canada,NT,EPRI,Wind,2010,0
Canada,NT,IET,Wind,2010,0
Canada,NT,JANDG,Wind,2010,0
Canada,NU,CER_HighDemand,Hydro,2010,0
